index,time,rmse,r2,mae,lat,lon,TREFMXAV_U,y_pred,member,year,feature,model
0,1,1.3884342935442584,0.9899078951116278,1.0116866011230405,23.864050082247303,131.38944163884915,287.45444,287.5110333969977,18.000191078265306,2006_2015,CAM,FLAML
1,2,1.4390905055160688,0.9881433644898712,1.0601632936935341,23.86553375825392,131.38479379485656,289.0144,289.11259509281336,17.999836702794763,2006_2015,CAM,FLAML
2,3,1.4789832195085024,0.9835034188699575,1.0951923177703107,23.86494359062589,131.39260483145634,292.12427,292.1898569620561,17.99983992485562,2006_2015,CAM,FLAML
3,4,1.4467169238334534,0.9753979430900598,1.0750178477806713,23.864455680794578,131.38331360471076,295.45615,295.5156624874138,17.999929685615516,2006_2015,CAM,FLAML
4,5,1.3672923092829357,0.9656571852018779,1.0183683721362866,23.86554987161178,131.3837758598727,298.1175,298.1215458121869,17.99967328809741,2006_2015,CAM,FLAML
5,6,1.277147125501272,0.9642490562284601,0.9428713318724901,23.865744573617672,131.38372930523704,300.02936,300.031339759373,18.00015195874801,2006_2015,CAM,FLAML
6,7,1.2698832023325821,0.9632516341396432,0.9199772877968192,23.86559690821293,131.38393198697676,301.08163,301.0324558779504,17.999607952660995,2006_2015,CAM,FLAML
7,8,1.3541814085875743,0.9550499282895484,0.9702690313373628,23.864304278428968,131.3922270179964,300.7833,300.69055683142267,17.999811094096916,2006_2015,CAM,FLAML
8,9,1.4148097057046074,0.9547885385942613,1.0189809852181944,23.86499427675829,131.38385555194708,298.6372,298.55171427938836,17.999982934973982,2006_2015,CAM,FLAML
9,10,1.3847226980507112,0.9727250837828665,1.0072086113980385,23.864419571714787,131.38863995133747,295.40173,295.35227436994603,18.000163225326634,2006_2015,CAM,FLAML
10,11,1.326195140769722,0.984306509147665,0.9743832953955956,23.863986598906358,131.38583264395854,291.7552,291.74907151788915,18.000258809989262,2006_2015,CAM,FLAML
11,12,1.3415502076529333,0.989001564210943,0.9776269059378043,23.864371698393136,131.38675850868262,288.50873,288.52855247284,18.000548601901766,2006_2015,CAM,FLAML
